algorithm,n,time_ns,depth,comparisons,allocations,swaps
mergesort,1000,9391000,7,10390,7936,9728
quicksort,1000,2717000,5,11316,793,6762
select,1000,4746300,1,2473,2599,1752
closest,1000,22683500,0,0,0,0
mergesort,2000,2569700,8,22643,17872,21275
quicksort,2000,1506300,6,25313,1581,13002
select,2000,2218100,1,5626,5852,3935
closest,2000,8075600,0,0,0,0
mergesort,5000,3953200,10,58434,54488,55885
quicksort,5000,5356500,7,72057,3920,37350
select,5000,10220000,1,15471,16009,10843
closest,5000,19238100,0,0,0,0
mergesort,10000,19142100,11,127126,118976,121999
quicksort,10000,12548400,8,163656,7824,85700
select,10000,8514600,1,31441,32249,21938
closest,10000,39352300,0,0,0,0
